Text
Contents
Formation and evolution
Structure and composition
Orbits
Composition
Distances and scales
Sun
Environment and habitability
Inner Solar System
 Inner planets
Asteroid belt
Outer Solar System
Outer planets
Centaurs
Comets
Trans-Neptunian region
Kuiper belt
Scattered disc
Farthest regions
 Edge of the heliosphere
Detached objects
Oort cloud
Boundaries
Galactic context
Celestial neighbourhood
Comparison with extrasolar systems
Humanity's perspective
See also
Notes
References
External links
